Metric,Jun 2014,Jun 2015,Mar 2016 9m,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM,Unit,Source
Sales +,"16,497","17,153","13,435","19,318","22,073","26,012","32,666","35,673","40,638","46,276","48,118","51,105","55,573",Cr,Screener
Operating Profit,"7,311","6,860","5,136","7,853","9,339","10,418","12,764","14,435","15,112","16,243","16,876","17,716","18,205",Cr,Screener
OPM %,44%,40%,38%,41%,42%,40%,39%,40%,37%,35%,35%,35%,33%,%,Screener
Other Income +,659,"1,200",968,956,702,805,613,965,880,"1,031","1,076","1,234",297,Cr,Screener
Interest,82,61,46,55,23,16,240,177,109,127,125,156,255,Cr,Screener
Depreciation,491,300,277,478,893,"1,276","1,959","2,813","2,615","2,431","2,371","2,320","2,338",Cr,Screener
Profit before tax,"7,398","7,699","5,782","8,276","9,125","9,931","11,178","12,410","13,268","14,716","15,456","16,474","15,909",Cr,Screener
Tax %,19%,18%,18%,17%,19%,18%,20%,30%,18%,22%,24%,26%,,%,Screener
Net Profit +,"5,985","6,346","4,719","6,873","7,362","8,185","8,969","8,743","10,874","11,459","11,674","12,266","11,572",Cr,Screener
EPS in Rs,21.37,22.57,16.73,24.09,26.44,30.17,33.05,32.22,40.07,42.23,43.02,45.20,42.64,₹,Screener
Dividend Payout %,12%,66%,48%,50%,23%,13%,30%,31%,105%,114%,121%,133%,,%,Screener
