Metric,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Unit,Source
Sales +,"11,976","13,018","11,728","11,707","11,697","11,657","12,216","11,784","12,300","13,240","15,027","15,230","16,679",Cr,Screener
Expenses +,"1,584","1,561",766,"1,080","1,181","1,199",943,831,859,"1,049","1,004",875,"1,011",Cr,Screener
Operating Profit,"10,391","11,457","10,962","10,627","10,516","10,459","11,273","10,953","11,441","12,191","14,023","14,356","15,668",Cr,Screener
OPM %,87%,88%,93%,91%,90%,90%,92%,93%,93%,92%,93%,94%,94%,%,Screener
Other Income +,6,2,5,9,10,6,10,9,8,8,9,17,13,Cr,Screener
Interest,"7,662","7,817","7,399","6,833","6,566","6,522","6,573","6,873","6,771","7,556","8,560","9,694","10,185",Cr,Screener
Depreciation,43,35,36,52,37,38,39,40,56,54,58,66,98,Cr,Screener
Profit before tax,"2,692","3,607","3,532","3,753","3,924","3,905","4,671","4,048","4,622","4,590","5,414","4,612","5,398",Cr,Screener
Net Profit +,"2,233","3,052","2,870","2,926","3,180","3,001","3,780","3,261","3,700","3,669","4,454","3,691","4,426",Cr,Screener
EPS in Rs,12.89,17.59,15.98,16.25,17.63,16.62,20.91,18.00,20.41,20.22,24.51,20.20,24.12,₹,Screener
