Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM,Unit,Source
Revenue +,"136,351","152,397","163,998","175,518","220,499","242,869","257,324","265,151","275,457","332,103","415,131","462,489","479,872",Cr,Screener
Interest,"87,069","97,382","106,803","113,658","145,646","154,520","159,239","154,441","154,750","187,263","255,255","295,524","307,851",Cr,Screener
Other Income +,"18,553","22,576","27,845","35,461","44,601","36,775","45,221","43,496","40,564","36,616","51,682","61,683","79,833",Cr,Screener
Depreciation,"1,334","1,116","1,700","2,293","2,919","3,212","3,304","3,318","3,249","3,297","3,352","3,529",0,Cr,Screener
Profit before tax,"16,174","19,314","13,774","14,855","-15,528","1,607","25,063","27,541","43,422","67,206","81,783","95,271","105,489",Cr,Screener
Tax %,33%,32%,28%,29%,-58%,46%,42%,26%,27%,25%,25%,26%,,%,Screener
Net Profit +,"10,891","13,102","9,951","10,484","-6,547",862,"14,488","20,410","31,676","50,232","61,077","70,901","78,991",Cr,Screener
EPS in Rs,14.59,17.55,12.82,13.15,-7.34,0.97,16.23,22.87,35.49,56.29,68.44,79.44,86.98,₹,Screener
Dividend Payout %,21%,20%,20%,20%,-0%,-0%,-0%,17%,20%,20%,20%,20%,,%,Screener
